 

stn;time;gre000z0;tre200s0;rre150z0;ure200s0;fu3010z0;dkl010z0
BER;202305150000;0;9.5;0.0;94.8;5.8;180
BER;202305150010;0;9.4;0.0;95.1;6.1;158
BER;202305150020;0;9.7;0.0;94.0;6.1;162
BER;202305150030;0;9.8;0.0;92.7;5.8;209
BER;202305150040;0;9.6;0.0;93.3;5.0;183
BER;202305150050;0;9.5;0.0;93.7;5.4;168
BER;202305150100;0;9.4;0.0;94.5;4.0;170
BER;202305150110;0;9.5;0.0;94.2;4.3;173
BER;202305150120;0;9.4;0.0;94.4;4.0;183
BER;202305150130;0;9.3;0.0;95.5;3.2;200
BER;202305150140;0;9.5;0.0;94.2;4.0;191
BER;202305150150;0;9.4;0.0;95.2;4.7;187
BER;202305150200;0;9.3;0.0;94.4;3.2;190
BER;202305150210;0;9.3;0.0;93.7;4.3;169
BER;202305150220;0;9.1;0.0;94.9;4.3;183
BER;202305150230;0;9.1;0.0;95.2;5.4;180
BER;202305150240;0;9.1;0.0;94.9;4.3;181
BER;202305150250;0;9.1;0.0;93.7;6.8;176
BER;202305150300;0;9.0;0.0;95.1;6.5;166
BER;202305150310;0;8.9;0.0;94.5;5.4;172
BER;202305150320;0;8.9;0.0;93.8;5.4;167
BER;202305150330;0;9.0;0.0;93.1;5.0;189
BER;202305150340;0;9.0;0.0;92.9;6.5;182
BER;202305150350;1;8.9;0.0;93.5;9.4;176
BER;202305150400;2;8.8;0.0;94.1;7.2;160
BER;202305150410;7;8.9;0.0;93.6;6.8;166
BER;202305150420;16;9.0;0.0;93.2;7.9;176
BER;202305150430;32;9.1;0.0;92.9;7.6;175
BER;202305150440;45;9.1;0.0;92.2;6.5;197
BER;202305150450;61;9.3;0.2;91.8;5.4;192
BER;202305150500;105;9.4;0.4;91.9;5.0;156
BER;202305150510;151;9.7;0.1;92.6;6.8;151
BER;202305150520;146;9.7;0.0;91.3;6.8;168
BER;202305150530;119;9.6;0.0;90.6;8.3;162
BER;202305150540;174;9.8;0.0;89.1;7.2;154
BER;202305150550;125;9.7;0.0;89.2;6.5;166
BER;202305150600;121;9.7;0.0;89.0;4.3;165
BER;202305150610;161;10.0;0.0;88.7;6.1;156
BER;202305150620;135;10.1;0.0;90.7;6.1;152
BER;202305150630;130;10.2;0.0;90.0;5.8;159
BER;202305150640;186;10.2;0.0;88.2;6.1;173
BER;202305150650;414;11.1;0.0;87.1;6.8;170
BER;202305150700;506;10.9;0.0;86.4;8.3;161
BER;202305150710;423;11.6;0.0;84.3;7.2;162
BER;202305150720;500;11.8;0.0;82.0;6.1;181
BER;202305150730;503;11.6;0.0;80.4;5.0;196
BER;202305150740;548;12.3;0.0;78.9;4.7;188
BER;202305150750;515;12.6;0.0;78.8;5.8;150
BER;202305150800;767;13.1;0.0;73.6;6.1;198
BER;202305150810;729;13.1;0.0;75.0;6.5;168
BER;202305150820;500;13.3;0.0;78.9;5.0;167
BER;202305150830;400;13.0;0.0;76.5;5.0;142
BER;202305150840;688;13.2;0.0;74.1;3.6;198
BER;202305150850;650;13.6;0.0;75.7;5.8;274
BER;202305150900;264;12.9;0.0;77.7;5.8;242
BER;202305150910;236;12.8;0.0;79.3;4.3;237
BER;202305150920;274;13.3;0.0;71.9;3.6;191
BER;202305150930;254;13.4;0.0;69.7;3.2;149
BER;202305150940;120;13.0;0.0;76.0;1.4;129
BER;202305150950;176;13.2;0.0;71.5;2.9;162
BER;202305151000;359;13.3;0.0;69.9;3.6;164
BER;202305151010;518;14.0;0.0;70.0;4.0;124
BER;202305151020;773;14.5;0.0;70.1;3.6;77
BER;202305151030;845;15.1;0.0;69.3;4.3;137
BER;202305151040;623;14.5;0.0;68.8;5.8;172
BER;202305151050;480;14.4;0.0;69.1;5.0;69
BER;202305151100;554;14.5;0.0;64.9;3.6;157
BER;202305151110;976;15.3;0.0;65.8;6.1;121
BER;202305151120;1061;16.9;0.0;67.1;9.0;137
BER;202305151130;1064;16.3;0.0;64.9;10.4;151
BER;202305151140;714;15.4;0.0;66.8;9.7;148
BER;202305151150;311;14.9;0.0;64.2;7.9;183
BER;202305151200;220;15.1;0.0;61.8;6.1;172
BER;202305151210;92;13.5;0.3;67.7;6.8;257
BER;202305151220;35;11.4;0.7;73.4;14.8;2
BER;202305151230;71;10.2;1.9;80.6;9.7;39
BER;202305151240;89;10.6;0.6;83.5;3.6;90
BER;202305151250;96;10.8;0.3;87.9;6.8;180
BER;202305151300;146;11.4;0.1;87.4;8.6;151
BER;202305151310;242;11.9;0.1;85.1;10.8;151
BER;202305151320;288;11.9;0.0;78.1;14.4;148
BER;202305151330;314;11.9;0.0;82.5;15.5;151
BER;202305151340;354;11.9;0.0;78.7;16.9;144
BER;202305151350;238;11.8;0.0;81.2;11.9;137
BER;202305151400;131;11.6;0.0;76.9;4.7;162
BER;202305151410;134;11.6;0.0;83.8;5.0;192
BER;202305151420;72;11.3;0.0;82.1;7.9;204
BER;202305151430;72;11.2;0.0;80.4;7.2;198
BER;202305151440;71;11.2;0.1;83.3;5.0;199
BER;202305151450;98;11.4;0.0;83.3;4.0;189
BER;202305151500;95;11.5;0.0;84.9;4.3;154
BER;202305151510;73;11.3;0.0;84.0;5.8;130
BER;202305151520;58;11.4;0.0;82.5;5.0;114
BER;202305151530;55;11.2;0.0;86.5;5.4;350
BER;202305151540;109;11.5;0.0;89.4;3.6;32
BER;202305151550;158;11.5;0.1;81.1;5.0;78
BER;202305151600;146;11.3;0.1;85.8;5.4;53
