Xmeasurement,devXeui,host,name,topic,decodedXpayload_humidity,decodedXpayload_temperature,time
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,89.727473868925,10.195696955825134,2023-05-15T00:06:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,90.57053482871748,10.177004654001678,2023-05-15T00:16:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,92.1879911497673,9.89662012664988,2023-05-15T00:26:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,92.61142900740064,9.64026855878538,2023-05-15T00:36:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,92.2776379034104,9.565499351491567,2023-05-15T00:46:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,91.23620965896086,9.677653162432286,2023-05-15T00:56:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,92.3482108796826,9.472037842374306,2023-05-15T01:06:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,90.73266193636988,9.464026855878537,2023-05-15T01:16:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,91.5700007629511,9.421301594567788,2023-05-15T01:26:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,92.2738231479362,9.140917067215996,2023-05-15T01:36:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,92.48744945448996,9.191653315022506,2023-05-15T01:46:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,92.68009460593576,9.210345616845965,2023-05-15T01:56:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,91.568093385214,9.394598306248568,2023-05-15T02:06:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,92.31387808041504,9.191653315022506,2023-05-15T02:16:49.000000Z
mqtt_consumer,C33FCBFEFFE70FFE,grafana,444fdf760afa,helium/444fdf760afa/rx,92.510337987335,9.1542687113756,2023-05-15T02:26:49.000000Z
